1084.wav|Thirty monks and forty householders have entered the forest monastery.
1085.wav|In ninety-one eon the monk stayed in peace.
1086.wav|King Pasenadi Kosala sat there during the last watch in quiet.
1087.wav|There are eighty-four thousand chariots with golden banners.
1088.wav|A fourfold army marched toward the Kosalan land.
1089.wav|The five-factored first jhāna is free from directed thought.
1090.wav|The three-knowledge man has stilled all unskillful qualities.
1091.wav|The Goat-herd Banyan tree stayed near the Nerañjarā River.
1092.wav|A self-awakened Buddha has removed all sorrow of many.
1093.wav|The Sāla-tree forest park was quiet and tranquil.
1094.wav|The two teachings lead to the cessation of stress.
1095.wav|A four-factored concentration leads to peace of mind.
1096.wav|The sixty elder monks addressed the assembly.
1097.wav|A hundred brahmans went to see the Blessed One.
1098.wav|The forty teachings have been well expounded.
1099.wav|The seventy-two wanderers sat down together.
